Disease ID	Disease Description
H02471	Brain malformations with urinary tract defects
H02472	Early-onset progressive encephalopathy
H02473	Leukoencephalopathy, brain calcifications, and cysts; Labrune syndrome
H02474	Blepharocheilodontic syndrome
H02475	Retinoschisis
H02476	Childhood-onset neurodegeneration with brain atrophy
H02477	Cohen-Gibson syndrome
H02478	CATIFA syndrome
H02479	Nivelon-Nivelon-Mabille syndrome
H02480	Fontaine progeroid syndrome
H02481	Syndromic disorder with short stature
H02482	ROSAH syndrome
H02483	Basel-Vanagaite-Smirin-Yosef syndrome
H02484	X-linked reticulate pigmentary disorder with systemic manifestations
H02485	Extraoral halitosis due to MTO deficiency
H02486	HELIX syndrome
H02487	Diencephalic-mesencephalic junction dysplasia syndrome
H02488	Cardiac-urogenital syndrome
H02489	Mild encephalopathy with reversible myelin vacuolization
H02490	Gabriele-de Vries syndrome
H02491	Immunoskeletal dysplasia with neurodevelopmental abnormalities
H02492	Microcephaly, growth restriction, and increased sister chromatid exchange
H02493	Al Kaissi syndrome
H02494	Alkuraya-Kucinskas syndrome
H02495	Congenital megabladder
H02496	Cerebellar, ocular, craniofacial, and genital syndrome
H02497	Smith-McCort dysplasia
H02498	Diabetic cardiomyopathy
H02499	AL amyloidosis; Immunoglobulin light chain amyloidosis
H02500	Congenital interstitial lung disease with nephrotic syndrome and epidermolysis bullosa
H02501	Occipital cortical malformation
H02502	Joint laxity, short stature, and myopia
H02503	Richieri-Costa-Pereira syndrome
H02504	Gastrointestinal ulceration, recurrent, with dysfunctional platelets
H02505	Atherosclerosis
H02506	Cardioacrofacial dysplasia
H02507	Pilarowski-Bjornsson syndrome
H02508	Agenesis of corpus callosum, cardiac, ocular, and genital syndrome
H02509	Vesicular stomatitis fever
H02510	Jaberi-Elahi syndrome
H02511	Jamestown Canyon encephalitis
H02512	Cache Valley virus infection
H02513	Oculopharyngodistal myopathy
H02514	Lacrimal duct defect
H02515	Li-Ghorbani-Weisz-Hubshman syndrome
H02516	Alcoholic liver disease
H02517	Olmsted syndrome
H02518	Neonatal severe encephalopathy with lactic acidosis and brain abnormalities
H02519	Mega-corpus-callosum syndrome with cerebellar hypoplasia and cortical malformations
H02520	Phosphoenolpyruvate carboxykinase deficiency
H02521	Diets-Jongmans syndrome
H02522	Imagawa-Matsumoto syndrome
H02523	Genitourinary and/or brain malformation syndrome
H02524	Ataxia-pancytopenia syndrome
H02525	Disorders of innate immunity
H02526	Disorders of adaptive immunity
H02527	Lipid storage myopathy due to FLAD1 deficiency
H02528	Hao-Fountain syndrome
H02529	Bone marrow failure syndrome
H02530	Hereditary prostate cancer
H02531	Familial breast-ovarian cancer
H02532	Proteasome-associated autoinflammatory syndrome
H02533	Kaufman oculocerebrofacial syndrome
H02534	Y-linked spermatogenic failure
H02535	Neurodevelopmental disorder with dysmorphic facies
H02536	Infection-induced acute encephalopathy
H02537	Autoinflammation, immune dysregulation, and eosinophilia
H02538	Paraganglioma
H02539	Intervertebral disc disease
H02540	Infantile-onset multisystem autoimmune disease
H02541	Juvenile myelomonocytic leukemia
H02542	Acute promyelocytic leukemia
H02543	Acromesomelic dysplasia
H02544	Riboflavin deficiency
H02545	Hypertryptophanemia
H02546	Hypervalinemia and hyperleucine-isoleucinemia
H02547	BRENS syndrome
H02548	CIMDAG syndrome
H02549	Cerebellar ataxia, brain abnormalities, and cardiac conduction defects
H02550	Birk-Landau-Perez syndrome
H02551	Skeletal dysplasia with joint laxity and advanced bone age
H02552	Ataxia, intention tremor, and hypotonia syndrome
H02553	Visceral myopathy
H02554	Omenn syndrome
H02555	Muckle-Wells syndrome
H02556	CINCA syndrome; Chronic infantile neurologic cutaneous and articular syndrome
H02557	Dopa-responsive dystonia
H02558	Craniotubular dysplasia, Ikegawa type
H02559	Microvascular complications of diabetes
H02560	White-Kernohan syndrome
H02561	Familial autoinflammatory syndrome with or without immunodeficiency
H02562	Yoon-Bellen neurodevelopmental syndrome
H02563	Neural tube defects
H02564	Generalized epilepsy with febrile seizures plus
H02565	Hereditary nonpolyposis colorectal cancer
H02566	Muir-Torre syndrome
H02567	Sorbitol dehydrogenase deficiency with peripheral neuropathy
H02568	Polymerase proofreading-associated polyposis
H02569	Pulmonary fibrosis and/or bone marrow failure, telomere-related
H02570	Cerebro-oculo-facio-skeletal syndrome
H02571	Neurodevelopmental disorder with hypotonia and variable intellectual and behavioral abnormalities
H02572	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures
H02573	Autosomal recessive spinocerebellar ataxias with axonal neuropathy
H02574	BILU syndrome
H02575	Lactose intolerance, adult type
H02576	Familial cutaneous telangiectasia and cancer syndrome
H02577	Karyomegalic interstitial nephritis
H02578	Short stature, microcephaly, and endocrine dysfunction
H02579	C3 glomerulopathy
H02580	Hereditary sensory neuropathy with spastic paraplegia
H02581	Juberg-Hayward syndrome
H02582	Mullegama-Klein-Martinez syndrome
H02583	X-linked intellectual disability-hypotonic facies syndrome
H02584	Ferguson-Bonni neurodevelopmental syndrome
H02585	Roifman-Chitayat syndrome
H02586	Distal myopathy with rimmed vacuoles
H02587	Luo-Schoch-Yamamoto syndrome
H02588	NLRP1-associated autoinflammation with arthritis and dyskeratosis; Autoinflammation with arthritis and dyskeratosis
H02589	Periodic fever, immunodeficiency, and thrombocytopenia syndrome
H02590	Acute febrile neutrophilic dermatosis; Pyrin-associated autoinflammatory disease; Sweet syndrome
H02591	Interleukin-18 binding protein deficiency
H02592	Familial Behcet-like autoinflammatory syndrome
H02593	Chronic mucocutaneous ulceration
H02594	Congenital facial palsy with ptosis and velopharyngeal dysfunction
H02595	Oculoskeletodental syndrome
H02596	Disorders of carnitine transport and the carnitine cycle
H02597	Sepiapterin reductase deficiency
H02598	Progressive leukoencephalopathy
H02599	Inherited autoinflammatory disease
H02600	Congenital tracheal stenosis
H02601	Pulmonary arterial sling; Vascular sling
H02602	Congenital tricuspid valve stenosis
H02603	Congenital mitral valve stenosis
H02604	Chromosome 1q21.1 duplication syndrome
H02605	Congenital pulmonary venous stenosis
H02606	Pachygyria, microcephaly, developmental delay, and dysmorphic facies, with or without seizures
H02607	Short stature and microcephaly with genital anomalies
H02608	Autoinflammatory-pancytopenia syndrome
H02609	Craniodiaphyseal dysplasia
H02610	Head and neck squamous cell carcinoma
H02611	Turnpenny-Fry syndrome
H02612	Radio-Tartaglia syndrome
H02613	Brunet-Wagner neurodevelopmental syndrome
H02614	Snijders Blok-Campeau syndrome
H02615	Parenti-Mignot neurodevelopmental syndrome
H02616	Neurodevelopmental disorder with macrocephaly
H02617	Bryant-Li-Bhoj neurodevelopmental syndrome
H02618	Developmental delay with variable intellectual disability and dysmorphic facies
H02619	Hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome
H02620	Autoinflammation with episodic fever and lymphadenopathy; Cleavage-resistant RIPK1-induced autoinflammatory syndrome
H02621	X-linked systemic autoinflammatory disease; NEMO deleted exon 5 autoinflammatory syndrome
H02622	Shukla-Vernon syndrome
H02623	Kury-Isidor syndrome
H02624	Tumor predisposition syndrome
H02625	Primordial dwarfism-immunodeficiency-lipodystrophy syndrome
H02626	Kalamiella piersonii infection
H02627	Epidermal nevus; Sebaceous nevus
H02628	Schimmelpenning-Feuerstein-Mims syndrome
H02629	Bent bone dysplasia syndrome
H02630	Chitayat syndrome
H02631	Melorheostosis
H02632	PP2A-related neurodevelopmental disorder
H02633	Beck-Fahrner syndrome
H02634	Deafness, cataract, impaired intellectual development, and polyneuropathy
H02635	Poirier-Bienvenu neurodevelopmental syndrome
H02636	Sinoatrial node dysfunction and deafness
H02637	Brachycephaly, trichomegaly, and developmental delay
H02638	Zaki syndrome
H02639	Atelis syndrome
H02640	Vertebral hypersegmentation and orofacial anomalies
H02641	Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development
H02642	Retinal arterial macroaneurysm with supravalvular pulmonic stenosis
H02643	Lipoyltransferase 1 deficiency
H02644	Alpha-aminoadipic and alpha-ketoadipic aciduria
H02645	Cerebellar atrophy with seizures and variable developmental delay
H02646	Malignant hyperthermia
H02647	Macrodactyly
H02648	Acantholytic blistering of the oral and laryngeal mucosa
H02649	Autosomal dominant slowed nerve conduction velocity
H02650	Menke-Hennekam syndrome
H02651	Lessel-Kreienkamp syndrome
H02652	Macrocephaly, acquired, with impaired intellectual development
H02653	Faundes-Banka syndrome
